Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
pareto,30,0,-0.013616405875229491,0.03650663775364857,0.005,43
pareto,30,0,0.0,0.0,0.005,44
pareto,30,0,0.0,0.0,0.005,45
pareto,30,0,-0.005055762868055334,0.02613302354713935,0.005,46
pareto,30,0,-0.011427529560102793,0.016145272959869197,0.005,47
pareto,30,0,-0.00039211570815760375,0.00042117724559388866,0.005,48
pareto,30,0,-0.0034869514477401903,0.003884163175589201,0.005,49
pareto,30,0,-0.007409803429201303,0.02082548581641266,0.005,50
pareto,30,0,0.0,0.0,0.005,51
pareto,30,0,-0.008653257428331418,0.03374334398664852,0.005,52
pareto,30,0,0.0,0.0,0.005,53
pareto,30,0,0.0,0.0,0.005,54
pareto,30,0,-0.020742814092084616,0.03275201332694597,0.005,55
pareto,30,0,-0.009814090590976952,0.01910541959473326,0.005,56
pareto,30,0,-0.02527754408560075,0.02899012422601032,0.005,57
pareto,30,0,-0.009187886333269099,0.013623689649656077,0.005,58
pareto,30,0,-0.00974708692912973,0.028076754448554706,0.005,59
pareto,30,0,-0.05018897129999337,0.067356935354429,0.005,60
pareto,30,0,-0.015101960537228346,0.02234044296359572,0.005,61
pareto,30,0,0.0,0.0,0.005,62
pareto,30,0,-0.008392024927617092,0.011669533222692563,0.005,63
pareto,30,0,0.0,0.0,0.005,64
pareto,30,0,-0.005069264827568866,0.007016073026145509,0.005,65
pareto,30,0,0.0,0.0,0.005,66
pareto,30,0,-0.014411177576547932,0.026166161607539554,0.005,67
pareto,30,0,-0.02143630732886501,0.03243399058170159,0.005,68
pareto,30,0,-0.012002131129072207,0.024286334320169696,0.005,69
pareto,30,0,-0.007067736588034269,0.013906271323983421,0.005,70
pareto,30,0,-0.012865338865942686,0.024511913544474292,0.005,71
pareto,30,0,-0.0002110555853215924,0.00021949224246268264,0.005,72
pareto,30,0,0.0,0.0,0.005,73
pareto,30,0,-0.013893560924796431,0.026190616996931145,0.005,74
pareto,30,0,-0.00791727317225982,0.014224042240918633,0.005,75
pareto,30,0,-0.005053970764018909,0.007129496172604485,0.005,76
pareto,30,0,-0.05383444801533739,0.060134337696602466,0.005,77
pareto,30,0,0.0,0.0,0.005,78
pareto,30,0,-0.019741497040420115,0.03175718375857044,0.005,79
pareto,30,0,-0.008163931943166955,0.013244486249860894,0.005,80
pareto,30,0,-0.010204175451035614,0.04083563882876601,0.005,81
pareto,30,0,0.0,0.0,0.005,82
pareto,30,0,-0.0013886267806228144,0.029154446812958482,0.005,83
pareto,30,0,-0.0058249740994843514,0.008170947329796731,0.005,84
pareto,30,0,0.0,0.0,0.005,85
pareto,30,0,-0.013996634477388118,0.020168742080005797,0.005,86
pareto,30,0,-0.008693745876513923,0.012021861632612893,0.005,87
pareto,30,0,-0.011366476178964897,0.018838960039189,0.005,88
pareto,30,0,0.0,0.0,0.005,89
pareto,30,0,-0.010680450473786617,0.023870542736729713,0.005,90
pareto,30,0,0.0,0.0,0.005,91
pareto,30,0,0.00044252310505628014,0.01935394406319043,0.005,92
pareto,30,0,-0.0015858731212639117,0.0019253929218765533,0.005,93
pareto,30,0,-0.009786488913871398,0.02098069061271708,0.005,94
pareto,30,0,0.0,0.0,0.005,95
