,method,region,quantile,lb,ub
182,opt,ECUADOR,0.99,0.0,0.16358660274007153
183,opt,ECUADOR,0.99,0.005118672826305917,0.14578495283598084
184,opt,ECUADOR,0.99,0.0,0.08555629694066812
185,opt,ECUADOR,0.99,0.0,0.19623740454562444
186,opt,ECUADOR,0.99,0.0,0.06926819865470393
187,opt,ECUADOR,0.99,0.0,0.06786636400287917
188,opt,ECUADOR,0.99,0.0,0.08886393442645882
189,opt,ECUADOR,0.99,0.003606732122935309,0.1930058427178044
190,opt,ECUADOR,0.99,0.0,0.11374377631935081
191,opt,ECUADOR,0.99,0.012627978814985147,0.14309298247608002
192,opt,ECUADOR,0.99,0.00834111824165773,0.15168043433818557
193,opt,ECUADOR,0.99,0.0,0.13407908097116997
194,opt,ECUADOR,0.99,0.005571065741092215,0.15399429794880276
195,opt,ECUADOR,0.99,,0.0
196,opt,ECUADOR,0.99,0.0,0.1443879253020267
197,opt,ECUADOR,0.99,0.0,0.1447250101528873
198,opt,ECUADOR,0.99,0.00289823965562324,0.20213453271145118
199,opt,ECUADOR,0.99,0.032527086695145285,0.1867155746760619
200,opt,ECUADOR,0.995,0.0,0.13419642900506074
201,opt,ECUADOR,0.995,0.0026236685681476635,0.1679985719084712
202,opt,ECUADOR,0.995,0.008041170375147844,0.22833359551620486
203,opt,ECUADOR,0.995,0.0,0.1046778160491328
204,opt,ECUADOR,0.995,0.0,0.07425235294347199
205,opt,ECUADOR,0.995,0.014518075666905772,0.18700412076375472
206,opt,ECUADOR,0.995,0.0,0.1958318457317033
207,opt,ECUADOR,0.995,0.004952075373766948,0.18738669932377264
208,opt,ECUADOR,0.995,0.0,0.0694100950077007
209,opt,ECUADOR,0.995,0.035098440947232315,0.16964921117693987
210,opt,ECUADOR,0.995,0.0015115841985112247,0.16338541067358878
211,opt,ECUADOR,0.995,0.015612396323751832,0.1927524649486746
212,opt,ECUADOR,0.995,0.0,0.11215819978442458
213,opt,ECUADOR,0.995,0.0002579991117658345,0.08208271109177423
214,opt,ECUADOR,0.995,0.0,0.13510835450297123
215,opt,ECUADOR,0.995,0.0,0.12340960209807109
216,opt,ECUADOR,0.995,0.0,0.14508416768996021
217,opt,ECUADOR,0.995,2.5451439607727944e-05,0.1806778721334133
218,opt,ECUADOR,0.995,0.0,0.10250195558944386
219,opt,ECUADOR,0.995,0.0,0.14017174593827497
220,opt,ECUADOR,0.995,0.0,0.17788940882980325
221,opt,ECUADOR,0.995,0.0,0.08554743703516865
222,opt,ECUADOR,0.995,5.33359211733718e-05,0.06167155077497467
223,opt,ECUADOR,0.995,0.0021443113139104977,0.16350472666506405
224,opt,ECUADOR,0.995,0.0,0.15606369929755137
225,opt,ECUADOR,0.995,0.005475967802918508,0.15622004217304958
226,opt,ECUADOR,0.995,0.0,0.1627124252417128
227,opt,ECUADOR,0.995,6.98749498355064e-05,0.1416806626226504
228,opt,ECUADOR,0.995,0.003189897673288547,0.07514839574464353
229,opt,ECUADOR,0.995,0.012771644096650783,0.20426428453173173
230,opt,ECUADOR,0.995,0.0,0.10493893162332571
231,opt,ECUADOR,0.995,0.0,0.1386535419211095
232,opt,ECUADOR,0.995,0.0,0.12363154895357047
233,opt,ECUADOR,0.995,0.0,0.1714341390939973
234,opt,ECUADOR,0.995,0.0,0.19409497665859954
235,opt,ECUADOR,0.995,0.010312777298917691,0.18046983915658274
236,opt,ECUADOR,0.995,0.0,0.15912033829513378
237,opt,ECUADOR,0.995,0.0,0.0714622762980734
238,opt,ECUADOR,0.995,0.0,0.1017042539176374
239,opt,ECUADOR,0.995,0.026217316705828955,0.13661178681572847
240,opt,ECUADOR,0.995,0.0,0.14286123875588252
241,opt,ECUADOR,0.995,0.0,0.08890590165301122
242,opt,ECUADOR,0.995,0.00035054574132053345,0.0811442449995329
