Data Source,nData,percentageLHS,Upper Bound,True Value,Repetition Index
gamma,500,0.9,0.005379966537871543,0.005,160
gamma,500,0.9,0.006732225723763977,0.005,161
gamma,500,0.9,0.0053825280231436495,0.005,162
gamma,500,0.9,0.006081100397069074,0.005,163
gamma,500,0.9,0.004314504923560012,0.005,164
gamma,500,0.9,0.005296904924102781,0.005,165
gamma,500,0.9,0.006912025950853861,0.005,166
gamma,500,0.9,0.006080413440208331,0.005,167
gamma,500,0.9,0.006115389107038415,0.005,168
gamma,500,0.9,0.005527188315521376,0.005,169
gamma,500,0.9,0.004433250354820413,0.005,170
gamma,500,0.9,0.0053433551019757405,0.005,171
gamma,500,0.9,0.007448573041595577,0.005,172
gamma,500,0.9,0.004248506938227798,0.005,173
gamma,500,0.9,0.005411150201889502,0.005,174
gamma,500,0.9,0.006363394850178507,0.005,175
gamma,500,0.9,0.006262954912615977,0.005,176
gamma,500,0.9,0.00500080154409184,0.005,177
gamma,500,0.9,0.005545283656343884,0.005,178
gamma,500,0.9,0.005037246485168901,0.005,179
gamma,500,0.9,0.0002337873599697791,0.005,180
gamma,500,0.9,0.004949668520917835,0.005,181
gamma,500,0.9,0.004113646146528194,0.005,182
gamma,500,0.9,0.005258611567589592,0.005,183
gamma,500,0.9,0.004197687638089351,0.005,184
gamma,500,0.9,0.0051214077686336625,0.005,185
gamma,500,0.9,0.004936941443353198,0.005,186
gamma,500,0.9,0.0036979851420059465,0.005,187
gamma,500,0.9,5.11085133920769e-05,0.005,188
gamma,500,0.9,0.00021209561732112787,0.005,189
gamma,500,0.9,0.007736634776957972,0.005,190
gamma,500,0.9,0.0,0.005,191
gamma,500,0.9,0.0035286834431704868,0.005,192
gamma,500,0.9,0.00580104523312478,0.005,193
gamma,500,0.9,0.0005609530963791828,0.005,194
gamma,500,0.9,0.006080695971485129,0.005,195
gamma,500,0.9,0.005640171684968634,0.005,196
gamma,500,0.9,0.006113178290197916,0.005,197
gamma,500,0.9,0.005828919419898507,0.005,198
gamma,500,0.9,0.00562008048140463,0.005,199
lognorm,500,0.9,0.006288734938083453,0.005,0
lognorm,500,0.9,0.00582606873645427,0.005,1
lognorm,500,0.9,0.0057861686936758775,0.005,2
lognorm,500,0.9,0.005076752840733969,0.005,3
lognorm,500,0.9,0.004588417197679804,0.005,4
lognorm,500,0.9,0.005379507130508877,0.005,5
lognorm,500,0.9,0.005826675447339169,0.005,6
lognorm,500,0.9,0.005211032607045047,0.005,7
lognorm,500,0.9,0.007090035698468225,0.005,8
lognorm,500,0.9,0.0057617579402880785,0.005,9
lognorm,500,0.9,0.005721112542790187,0.005,10
lognorm,500,0.9,0.005685968033723498,0.005,11
lognorm,500,0.9,7.536427604144168e-05,0.005,12
lognorm,500,0.9,0.005254642162576435,0.005,13
lognorm,500,0.9,0.005603653449906554,0.005,14
lognorm,500,0.9,0.005470029079342454,0.005,15
lognorm,500,0.9,0.004603950358122369,0.005,16
lognorm,500,0.9,0.00546317363712066,0.005,17
lognorm,500,0.9,0.005727575641617684,0.005,18
lognorm,500,0.9,0.008546137952884074,0.005,19
lognorm,500,0.9,0.005982214445896354,0.005,20
lognorm,500,0.9,0.005459257666115868,0.005,21
lognorm,500,0.9,0.0006075776996493614,0.005,22
lognorm,500,0.9,0.004875894910323351,0.005,23
lognorm,500,0.9,0.00566301970528038,0.005,24
lognorm,500,0.9,0.005950739672249734,0.005,25
lognorm,500,0.9,0.005780113246956445,0.005,26
lognorm,500,0.9,0.005159583985997249,0.005,27
lognorm,500,0.9,0.005895678230731498,0.005,28
lognorm,500,0.9,0.0046020872103606555,0.005,29
lognorm,500,0.9,0.005641855188217029,0.005,30
lognorm,500,0.9,0.006277045642592644,0.005,31
lognorm,500,0.9,0.005381851947007535,0.005,32
lognorm,500,0.9,0.005599303269182349,0.005,33
lognorm,500,0.9,0.00543571649913191,0.005,34
lognorm,500,0.9,0.004530224205197546,0.005,35
lognorm,500,0.9,0.0053571594993845765,0.005,36
lognorm,500,0.9,0.005490730163032424,0.005,37
lognorm,500,0.9,0.006898267713361425,0.005,38
lognorm,500,0.9,0.007803684911362352,0.005,39
lognorm,500,0.9,0.003467433168890965,0.005,40
lognorm,500,0.9,0.005619856048515218,0.005,41
lognorm,500,0.9,0.005635767568779055,0.005,42
lognorm,500,0.9,0.004908401183240802,0.005,43
lognorm,500,0.9,0.004586026728555687,0.005,44
lognorm,500,0.9,0.004666802758323291,0.005,45
lognorm,500,0.9,0.005074664629756239,0.005,46
lognorm,500,0.9,0.005503763021018144,0.005,47
lognorm,500,0.9,0.005027487793860119,0.005,48
lognorm,500,0.9,0.005762209532942188,0.005,49
lognorm,500,0.9,0.005484077646965334,0.005,50
lognorm,500,0.9,0.005316935107531628,0.005,51
lognorm,500,0.9,0.005897383589703579,0.005,52
lognorm,500,0.9,0.0048035621040317614,0.005,53
lognorm,500,0.9,0.005220970976845331,0.005,54
lognorm,500,0.9,0.0011216458287102774,0.005,55
lognorm,500,0.9,0.006469239088349939,0.005,56
lognorm,500,0.9,0.005232366145501492,0.005,57
lognorm,500,0.9,0.00018757926812790963,0.005,58
lognorm,500,0.9,0.005769917504697904,0.005,59
lognorm,500,0.9,0.00013825181900374922,0.005,60
lognorm,500,0.9,0.0077433098253572264,0.005,61
lognorm,500,0.9,0.00010967827220025554,0.005,62
lognorm,500,0.9,0.005424067751671283,0.005,63
lognorm,500,0.9,0.005805249402799684,0.005,64
lognorm,500,0.9,0.0012726410943529314,0.005,65
lognorm,500,0.9,0.004741572755731542,0.005,66
lognorm,500,0.9,0.006415341264403663,0.005,67
lognorm,500,0.9,0.005257383175942629,0.005,68
lognorm,500,0.9,0.00577393351039061,0.005,69
lognorm,500,0.9,0.006459416264788936,0.005,70
lognorm,500,0.9,0.0063041250743482505,0.005,71
lognorm,500,0.9,0.0059220348586416565,0.005,72
lognorm,500,0.9,0.008552724037457476,0.005,73
lognorm,500,0.9,0.0053657537267417805,0.005,74
lognorm,500,0.9,0.004743939613015757,0.005,75
lognorm,500,0.9,0.0059543635221205385,0.005,76
lognorm,500,0.9,0.008420770205952496,0.005,77
lognorm,500,0.9,0.004973300605905513,0.005,78
lognorm,500,0.9,6.382920733114971e-05,0.005,79
lognorm,500,0.9,0.004941901546606866,0.005,80
lognorm,500,0.9,0.0049535295231645585,0.005,81
lognorm,500,0.9,0.005543702186059251,0.005,82
