Data Source,nData,thres_pct,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0.6,0.0035438479501563648,0.009395252709756476,0.005,31
gamma,30,0.6,-0.0015797500581691327,0.00924570741738529,0.005,32
gamma,30,0.6,0.0,0.0,0.005,33
gamma,30,0.6,0.005979127016816349,0.011373213453759818,0.005,34
gamma,30,0.6,0.0013869402032249717,0.0054003580323883985,0.005,35
gamma,30,0.6,0.00045175365585412366,0.003835304216913495,0.005,36
gamma,30,0.6,0.0,0.0,0.005,37
gamma,30,0.6,0.0007257721570856253,0.004884232965650369,0.005,38
gamma,30,0.6,0.003261804023568708,0.007243123060283183,0.005,39
gamma,30,0.6,0.0011040167737485869,0.004879333095117986,0.005,40
gamma,30,0.6,0.0014976479850343325,0.005803602941130671,0.005,41
gamma,30,0.6,0.0010079953860449564,0.00476971902869562,0.005,42
gamma,30,0.6,0.0044183235974585315,0.01150223610883667,0.005,43
gamma,30,0.6,-0.0011520793848340486,0.003051900103844718,0.005,44
gamma,30,0.6,0.0,0.0,0.005,45
gamma,30,0.6,0.0027379159989196966,0.006270001595665584,0.005,46
gamma,30,0.6,0.004735764199057347,0.006701665105112742,0.005,47
gamma,30,0.6,0.0023119796623859443,0.007477535636063347,0.005,48
gamma,30,0.6,0.0027645713053124315,0.006445536114987542,0.005,49
gamma,30,0.6,0.006637967745697202,0.011927992404176883,0.005,50
gamma,30,0.6,-0.0004031814391224558,0.0036505890633176533,0.005,51
gamma,30,0.6,0.002332345001527531,0.005497628557581973,0.005,52
gamma,30,0.6,0.0,0.0,0.005,53
gamma,30,0.6,0.0,0.0,0.005,54
gamma,30,0.6,0.005184183256359012,0.008983965158878246,0.005,55
gamma,30,0.6,0.0,0.0,0.005,56
gamma,30,0.6,0.0005102208646394563,0.004358827172484479,0.005,57
gamma,30,0.6,0.0,0.0,0.005,58
gamma,30,0.6,0.004852169433564534,0.007735046076885301,0.005,59
gamma,30,0.6,0.0038761550974547587,0.010178361570373818,0.005,60
gamma,30,0.6,0.0011395682924252232,0.0047347262381442455,0.005,61
gamma,30,0.6,-0.002911659801258952,0.0029116598012589516,0.005,62
gamma,30,0.6,0.0029793381290364514,0.0064349436885382805,0.005,63
gamma,30,0.6,0.005671876519698546,0.008711914812282765,0.005,64
gamma,30,0.6,0.004862843032816114,0.007142069860909425,0.005,65
gamma,30,0.6,0.0018796618476075147,0.007353100170161899,0.005,66
gamma,30,0.6,0.0045079372076006225,0.009641712768558951,0.005,67
gamma,30,0.6,0.002641993753241915,0.008105303823046512,0.005,68
gamma,30,0.6,0.003599948474372461,0.00891474657871747,0.005,69
gamma,30,0.6,0.0,0.0,0.005,70
gamma,30,0.6,0.002861190871112989,0.005850598751868947,0.005,71
gamma,30,0.6,0.005110027840487298,0.007740721719851461,0.005,72
gamma,30,0.6,0.0012864170867991284,0.00586908078546662,0.005,73
