Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,30,0,-0.011011313610331357,0.017079542446168532,0.005,54
lognorm,30,0,-0.008967059143518202,0.011115670517426804,0.005,55
lognorm,30,0,-0.02451152945507364,0.07352923153101822,0.005,56
lognorm,30,0,-0.008434942177876829,0.024740319411192625,0.005,57
lognorm,30,0,-0.013309613193772581,0.02712506689414468,0.005,58
lognorm,30,0,-0.01590858835735269,0.021930925896890083,0.005,59
lognorm,30,0,-0.007286741553521982,0.01125176691397989,0.005,60
lognorm,30,0,0.0,0.0,0.005,61
lognorm,30,0,-0.009748653020421178,0.04555945731920541,0.005,62
lognorm,30,0,-0.010120499209968136,0.021740106530681456,0.005,63
lognorm,30,0,-0.008972977585463211,0.014888772311046312,0.005,64
lognorm,30,0,0.0,0.0,0.005,65
lognorm,30,0,-0.008321417877419924,0.009880587438602928,0.005,66
lognorm,30,0,-0.003078132731853433,0.0035958050878862045,0.005,67
lognorm,30,0,-0.0055173977587226405,0.011225275629305663,0.005,68
lognorm,30,0,0.0,0.0,0.005,69
lognorm,30,0,-0.017118600166041924,0.029500391224436064,0.005,70
lognorm,30,0,0.0,0.0,0.005,71
lognorm,30,0,-0.004320335372200123,0.029169407254953688,0.005,72
lognorm,30,0,-0.003951254417412885,0.05233142220657137,0.005,73
lognorm,30,0,-0.033183063129838014,0.05460272582482415,0.005,74
lognorm,30,0,-0.003450590515805094,0.025025018841566733,0.005,75
lognorm,30,0,0.0,0.0,0.005,76
lognorm,30,0,0.0,0.0,0.005,77
lognorm,30,0,0.0,0.0,0.005,78
lognorm,30,0,0.0,0.0,0.005,79
lognorm,30,0,-0.012028247452913447,0.017172599984282645,0.005,80
lognorm,30,0,0.0,0.0,0.005,81
lognorm,30,0,0.0,0.0,0.005,82
lognorm,30,0,-0.0077846167046220875,0.013890630179234746,0.005,83
lognorm,30,0,0.0,0.0,0.005,84
lognorm,30,0,-0.0014931768730232998,0.044547155873711164,0.005,85
lognorm,30,0,-0.0011887879948109395,0.0012746703217118827,0.005,86
lognorm,30,0,0.0,0.0,0.005,87
lognorm,30,0,0.0,0.0,0.005,88
lognorm,30,0,-0.009737662006961238,0.012791290232371792,0.005,89
lognorm,30,0,-0.01017531149567082,0.011351034111870977,0.005,90
lognorm,30,0,0.0,0.0,0.005,91
lognorm,30,0,-0.009026274131434002,0.02903559160649627,0.005,92
lognorm,30,0,-0.014886962499206536,0.07136882031066667,0.005,93
lognorm,30,0,-0.0037218858904103816,0.013762278379560233,0.005,94
lognorm,30,0,-0.09573520897144924,0.11523047649521381,0.005,95
lognorm,30,0,0.0,0.0,0.005,96
lognorm,30,0,0.0,0.0,0.005,97
lognorm,30,0,0.0,0.0,0.005,98
lognorm,30,0,-0.0028656735515349644,0.0032495430587136443,0.005,99
lognorm,30,0,0.0,0.0,0.005,100
lognorm,30,0,0.0,0.0,0.005,101
lognorm,30,0,-0.019092922637074856,0.031976804608515506,0.005,102
lognorm,30,0,-0.02393273825658103,0.040296737015209756,0.005,103
lognorm,30,0,0.0,0.0,0.005,104
lognorm,30,0,0.0,0.0,0.005,105
lognorm,30,0,-0.011792597188534516,0.026028643341872118,0.005,106
lognorm,30,0,-0.01022862070168027,0.017953605828744165,0.005,107
lognorm,30,0,-0.0052722169965055965,0.0059205273801091075,0.005,108
lognorm,30,0,-2.453898193054869e-08,2.4647318470287877e-08,0.005,109
lognorm,30,0,-0.0003936242972838414,0.000403099337112485,0.005,110
lognorm,30,0,-0.004896427225289011,0.005034617608931396,0.005,111
lognorm,30,0,-0.009176665058071696,0.029953214890547017,0.005,112
lognorm,30,0,0.0,0.0,0.005,113
lognorm,30,0,-0.011843274638797252,0.01850148981289953,0.005,114
lognorm,30,0,0.0,0.0,0.005,115
lognorm,30,0,-0.009502785016500287,0.023586655279972633,0.005,116
lognorm,30,0,-0.005780065366688115,0.0065123901122716935,0.005,117
lognorm,30,0,0.0,0.0,0.005,118
lognorm,30,0,-0.0014230583047428536,0.015010350952957415,0.005,119
lognorm,30,0,0.0,0.0,0.005,120
lognorm,30,0,-0.0224510733170938,0.05112347595250493,0.005,121
lognorm,30,0,0.0,0.0,0.005,122
